================================================================================
Exp 181 DYNAMICS AUDIT — DIAGNOSTIC ONLY
Deterministic Phase-W rerun with per-step instrumentation
Verdict unchanged: NEGATIVE (no-resistance)
================================================================================

TABLE 1: Identity dynamics per arm/seed/burst
  gap_start = v_fav - v_burst_color at burst onset snapshot
  gap_end   = v_fav - v_burst_color at burst end snapshot
  D_b       = pi_end[burst_color] - pi_start[burst_color]  (directed drift)
  TV_b      = 0.5 * sum|pi_end - pi_start|  (whole-vector movement)

       arm  seed  bi   f   c  gap_start    gap_end        D_b       TV_b
------------------------------------------------------------------------
  baseline   210   0   2   1   146.3468  -564.8743     0.1572     0.1572
  baseline   210   1   1   0   339.8162  -416.9157     0.1689     0.1689
  baseline   210   2   0   2   250.4738  -457.9641     0.1537     0.1537
  baseline   211   0   2   1    65.9253  -628.4055     0.1547     0.1547
  baseline   211   1   1   0   312.7115  -440.1280     0.1606     0.1606
  baseline   211   2   0   2   288.3359  -429.3360     0.1551     0.1551
  baseline   212   0   2   1   157.3610  -556.5321     0.1560     0.1560
  baseline   212   1   1   0   333.9524  -423.1399     0.1644     0.1644
  baseline   212   2   0   2   272.1577  -441.9036     0.1559     0.1559
  baseline   213   0   2   1   125.7708  -581.1094     0.1559     0.1559
  baseline   213   1   1   0   330.2675  -424.5635     0.1645     0.1645
  baseline   213   2   0   2   293.5425  -425.4138     0.1576     0.1576
  baseline   214   0   2   1   105.1284  -596.8949     0.1558     0.1558
  baseline   214   1   1   0   305.2711  -444.9665     0.1648     0.1648
  baseline   214   2   0   2   377.5356  -359.5933     0.1610     0.1610
  baseline   215   0   2   1   224.2485  -502.5765     0.1580     0.1580
  baseline   215   1   1   0   329.6379  -426.3235     0.1678     0.1678
  baseline   215   2   0   2   398.9809  -342.6452     0.1614     0.1614
  baseline   216   0   2   1   173.0135  -542.5979     0.1575     0.1575
  baseline   216   1   1   0   303.6828  -445.4698     0.1653     0.1653
  baseline   216   2   0   2   372.1133  -362.9592     0.1592     0.1592
  baseline   217   0   2   1   215.1884  -509.5037     0.1580     0.1580
  baseline   217   1   1   0   325.0403  -428.6224     0.1619     0.1619
  baseline   217   2   0   2   352.0383  -378.7742     0.1573     0.1573
        n4   210   0   2   1   124.0085  -240.8947     0.1001     0.1001
        n4   210   1   2   0   235.4491  -201.4002     0.1238     0.1238
        n4   210   2   0   1   148.3210  -302.5671     0.1255     0.1255
        n4   211   0   2   1    90.1287  -319.8144     0.1196     0.1196
        n4   211   1   1   0   176.8752  -274.1902     0.1298     0.1298
        n4   211   2   0   1   147.8101  -329.4291     0.1350     0.1350
        n4   212   0   2   1   176.8137  -208.9696     0.1052     0.1052
        n4   212   1   1   0   161.8257  -260.3522     0.1192     0.1192
        n4   212   2   0   2   179.7481  -290.5830     0.1340     0.1340
        n4   213   0   2   1   115.5239  -217.0725     0.0952     0.0952
        n4   213   1   1   0   138.3111  -257.1811     0.1208     0.1208
        n4   213   2   0   1   136.6769  -297.2327     0.1261     0.1261
        n4   214   0   2   1    76.0716  -229.0600     0.0928     0.0928
        n4   214   1   2   0   131.6525  -260.4158     0.1193     0.1193
        n4   214   2   0   2   226.1829  -177.5205     0.1128     0.1128
        n4   215   0   2   1   241.5095   -43.1832     0.0705     0.0705
        n4   215   1   2   0   183.1879  -208.4558     0.1123     0.1123
        n4   215   2   0   2   226.9809  -145.0552     0.1038     0.1038
        n4   216   0   2   1   160.8394  -194.0425     0.1013     0.1013
        n4   216   1   1   0   122.4065  -329.0997     0.1362     0.1362
        n4   216   2   0   2   230.3803  -176.1945     0.1132     0.1132
        n4   217   0   2   1   193.3316  -195.2870     0.1019     0.1019
        n4   217   1   1   0   161.5701  -299.1511     0.1283     0.1283
        n4   217   2   0   2   244.0572  -209.7619     0.1241     0.1241
      c0.3   210   0   2   1    57.7739  -158.5522     0.1173     0.1173
      c0.3   210   1   1   0    98.3323  -127.9164     0.1462     0.1462
      c0.3   210   2   0   2    74.3187  -138.0370     0.1449     0.1449
      c0.3   211   0   2   1    33.6475  -177.6116     0.1159     0.1159
      c0.3   211   1   1   0    90.2008  -134.8801     0.1401     0.1401
      c0.3   211   2   0   2    85.6773  -129.4485     0.1461     0.1461
      c0.3   212   0   2   1    61.0782  -156.0496     0.1166     0.1166
      c0.3   212   1   1   0    96.5731  -129.7836     0.1429     0.1429
      c0.3   212   2   0   2    80.8238  -133.2188     0.1468     0.1468
      c0.3   213   0   2   1    51.6011  -163.4228     0.1166     0.1166
      c0.3   213   1   1   0    95.4676  -130.2107     0.1430     0.1430
      c0.3   213   2   0   2    87.2393  -128.2719     0.1483     0.1483
      c0.3   214   0   2   1    45.4084  -168.1584     0.1165     0.1165
      c0.3   214   1   1   0    87.9687  -136.3316     0.1432     0.1432
      c0.3   214   2   0   2   112.4372  -108.5257     0.1514     0.1514
      c0.3   215   0   2   1    81.1445  -139.8629     0.1176     0.1176
      c0.3   215   1   1   0    95.2788  -130.7387     0.1454     0.1454
      c0.3   215   2   0   2   118.8708  -103.4413     0.1517     0.1517
      c0.3   216   0   2   1    65.7739  -151.8693     0.1173     0.1173
      c0.3   216   1   1   0    87.4922  -136.4826     0.1436     0.1436
      c0.3   216   2   0   2   110.8105  -109.5355     0.1497     0.1497
      c0.3   217   0   2   1    78.4264  -141.9411     0.1176     0.1176
      c0.3   217   1   1   0    93.8995  -131.4284     0.1410     0.1410
      c0.3   217   2   0   2   104.7880  -114.2800     0.1481     0.1481
      c0.1   210   0   2   1    32.4674   -42.4602     0.0680     0.0680
      c0.1   210   1   2   0    29.4498   -45.3196     0.1058     0.1058
      c0.1   210   2   0   1    25.2190   -48.1433     0.1289     0.1289
      c0.1   211   0   2   1    24.4253   -48.8133     0.0675     0.0675
      c0.1   211   1   1   0    26.6264   -47.6664     0.1027     0.1027
      c0.1   211   2   0   2    27.7748   -43.7664     0.1254     0.1254
      c0.1   212   0   2   1    33.5688   -41.6260     0.0677     0.0677
      c0.1   212   1   1   0    28.7505   -45.9676     0.1042     0.1042
      c0.1   212   2   0   1    26.3934   -47.3611     0.1300     0.1300
      c0.1   213   0   2   1    30.4098   -44.0837     0.0677     0.0677
      c0.1   213   1   1   0    28.3820   -46.1099     0.1042     0.1042
      c0.1   213   2   0   2    28.2955   -43.3742     0.1270     0.1270
      c0.1   214   0   2   1    28.3456   -45.6623     0.0677     0.0677
      c0.1   214   1   1   0    25.8823   -48.1502     0.1043     0.1043
      c0.1   214   2   0   2    36.6948   -36.7922     0.1292     0.1292
      c0.1   215   0   2   1    40.2576   -36.2304     0.0680     0.0680
      c0.1   215   1   1   0    28.3190   -46.2859     0.1055     0.1055
      c0.1   215   2   0   2    38.8393   -35.0973     0.1295     0.1295
      c0.1   216   0   2   1    35.1341   -40.2326     0.0679     0.0679
      c0.1   216   1   1   0    25.7235   -48.2006     0.1045     0.1045
      c0.1   216   2   0   2    36.1526   -37.1287     0.1280     0.1280
      c0.1   217   0   2   1    39.3516   -36.9232     0.0680     0.0680
      c0.1   217   1   1   0    27.8592   -46.5158     0.1031     0.1031
      c0.1   217   2   0   2    34.1451   -38.7102     0.1268     0.1268
     c0.05   210   0   2   1    26.1408   -13.4372     0.0417     0.0417
     c0.05   210   1   2   0    16.1718   -21.5217     0.0749     0.0749
     c0.05   210   2   0   1    13.6585   -23.2465     0.1076     0.1076
     c0.05   211   0   2   1    22.1197   -16.6138     0.0415     0.0415
     c0.05   211   1   1   0    10.7327   -25.8630     0.0734     0.0734
     c0.05   211   2   0   1    13.8822   -23.1654     0.1073     0.1073
     c0.05   212   0   2   1    26.6915   -13.0201     0.0416     0.0416
     c0.05   212   1   1   0    11.7948   -25.0136     0.0741     0.0741
     c0.05   212   2   0   1    14.2457   -22.8554     0.1084     0.1084
     c0.05   213   0   2   1    25.1120   -14.2490     0.0416     0.0416
     c0.05   213   1   1   0    11.6105   -25.0847     0.0741     0.0741
     c0.05   213   2   0   2    13.5595   -22.1498     0.1045     0.1045
     c0.05   214   0   2   1    24.0799   -15.0382     0.0415     0.0415
     c0.05   214   1   1   0    10.3607   -26.1049     0.0742     0.0742
     c0.05   214   2   0   2    17.7592   -18.8588     0.1061     0.1061
     c0.05   215   0   2   1    30.0359   -10.3223     0.0417     0.0417
     c0.05   215   1   2   0    12.7549   -24.2478     0.0748     0.0748
     c0.05   215   2   0   2    18.8315   -18.0113     0.1062     0.1062
     c0.05   216   0   2   1    27.4741   -12.3234     0.0416     0.0416
     c0.05   216   1   2   0    10.4707   -26.0128     0.0743     0.0743
     c0.05   216   2   0   2    17.4881   -19.0270     0.1052     0.1052
     c0.05   217   0   2   1    29.5829   -10.6687     0.0417     0.0417
     c0.05   217   1   1   0    11.3492   -25.2877     0.0736     0.0736
     c0.05   217   2   0   2    16.4843   -19.8178     0.1044     0.1044
     c0.02   210   0   2   1    22.3448     3.9766     0.0193     0.0193
     c0.02   210   1   2   0     8.2051    -7.2429     0.0400     0.0400
     c0.02   210   2   0   1     6.7222    -8.3085     0.0720     0.0720
     c0.02   211   0   2   1    20.7364     2.7060     0.0193     0.0193
     c0.02   211   1   2   0     3.0876   -11.2934     0.0396     0.0396
     c0.02   211   2   0   1     6.8117    -8.2760     0.0719     0.0719
     c0.02   212   0   2   1    22.5651     4.1434     0.0193     0.0193
     c0.02   212   1   2   0     4.0708   -10.5144     0.0398     0.0398
     c0.02   212   2   0   1     6.9571    -8.1520     0.0723     0.0723
     c0.02   213   0   2   1    21.9333     3.6519     0.0193     0.0193
     c0.02   213   1   2   0     5.1107    -9.6817     0.0398     0.0398
     c0.02   213   2   0   1     6.5819    -8.4550     0.0721     0.0721
     c0.02   214   0   2   1    21.5204     3.3362     0.0192     0.0192
     c0.02   214   1   2   0     5.8718    -9.0688     0.0398     0.0398
     c0.02   214   2   0   1     6.7068    -8.3413     0.0715     0.0715
     c0.02   215   0   2   1    23.9028     5.2225     0.0193     0.0193
     c0.02   215   1   2   0     6.8383    -8.3333     0.0400     0.0400
     c0.02   215   2   0   1     7.3103    -7.8670     0.0717     0.0717
     c0.02   216   0   2   1    22.8781     4.4221     0.0193     0.0193
     c0.02   216   1   2   0     5.9246    -9.0393     0.0398     0.0398
     c0.02   216   2   0   1     6.8270    -8.2294     0.0713     0.0713
     c0.02   217   0   2   1    23.7216     5.0840     0.0193     0.0193
     c0.02   217   1   2   0     3.7088   -10.7837     0.0396     0.0396
     c0.02   217   2   0   1     7.2385    -7.9055     0.0716     0.0716
