count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
21,1,0.31233183,0.10460139,movement_cost
21,1,0.47992733,0.09223848,baseline_metabolic_cost
21,1,20.40045731,2.23101182,energy_capacity
21,1,16.67756832,1.88577826,reproduction_energy_threshold
21,1,0.45476571,0.02822056,reproduction_energy_transfer_fraction
21,1,0.14642532,0.01107377,reproduction_cost_fraction
21,1,4.71428571,1.35023304,maturity_age
21,1,0.02422596,0.01576831,aging_cost
21,1,0.37179711,0.0476633,exploration_bias
21,1,0.29582922,0.04190755,learning_rate
21,1,5.14285714,0.70950783,memory_length
21,1,0.49521126,0.05075788,temperature_tolerance
21,1,0.85321209,0.02408133,sensor_precision
18,2,0.2206078,0.10015666,movement_cost
18,2,0.4861098,0.18937929,baseline_metabolic_cost
18,2,18.75119272,3.05402732,energy_capacity
18,2,16.56404078,1.72787372,reproduction_energy_threshold
18,2,0.44978488,0.03373861,reproduction_energy_transfer_fraction
18,2,0.14514519,0.01318508,reproduction_cost_fraction
18,2,4.83333333,1.67497927,maturity_age
18,2,0.02830319,0.02085192,aging_cost
18,2,0.36710584,0.05277407,exploration_bias
18,2,0.32048561,0.06014564,learning_rate
18,2,4.5,0.89752747,memory_length
18,2,0.50290173,0.05598953,temperature_tolerance
18,2,0.84657421,0.02708679,sensor_precision
20,3,0.26137747,0.08962775,movement_cost
20,3,0.40421183,0.12653467,baseline_metabolic_cost
20,3,14.21331765,3.33294687,energy_capacity
20,3,12.66686631,2.59753561,reproduction_energy_threshold
20,3,0.46532347,0.02171753,reproduction_energy_transfer_fraction
20,3,0.15561839,0.01875169,reproduction_cost_fraction
20,3,4.2,1.53622915,maturity_age
20,3,0.01016911,0.01922628,aging_cost
20,3,0.37010005,0.04306204,exploration_bias
20,3,0.3655732,0.07903894,learning_rate
20,3,4.15,1.23592071,memory_length
20,3,0.53024908,0.04430523,temperature_tolerance
20,3,0.83987817,0.01836746,sensor_precision
57,4,0.26126247,0.11944333,movement_cost
57,4,0.32455087,0.1385459,baseline_metabolic_cost
57,4,17.80351954,4.58454089,energy_capacity
57,4,14.59600394,2.92723703,reproduction_energy_threshold
57,4,0.46601239,0.03909176,reproduction_energy_transfer_fraction
57,4,0.15800979,0.01751116,reproduction_cost_fraction
57,4,4.9122807,2.07136451,maturity_age
57,4,0.01315821,0.01946979,aging_cost
57,4,0.37046396,0.05601686,exploration_bias
57,4,0.37257902,0.10772752,learning_rate
57,4,5.50877193,1.73834774,memory_length
57,4,0.50117614,0.07459594,temperature_tolerance
57,4,0.84826963,0.02732579,sensor_precision
112,5,0.16288698,0.12327432,movement_cost
112,5,0.23578788,0.14935507,baseline_metabolic_cost
112,5,19.19021422,4.28063869,energy_capacity
112,5,14.30640668,2.65126917,reproduction_energy_threshold
112,5,0.46246438,0.04358262,reproduction_energy_transfer_fraction
112,5,0.16452424,0.02184766,reproduction_cost_fraction
112,5,4.35714286,2.93335846,maturity_age
112,5,0.00978773,0.01481371,aging_cost
112,5,0.38000013,0.08113554,exploration_bias
112,5,0.33736287,0.0756504,learning_rate
112,5,6.39285714,1.64944332,memory_length
112,5,0.50849603,0.0664479,temperature_tolerance
112,5,0.86089325,0.03313286,sensor_precision
97,6,0.10163485,0.10172483,movement_cost
97,6,0.15847464,0.15136448,baseline_metabolic_cost
97,6,22.57842948,3.49956171,energy_capacity
97,6,14.21780898,3.66944506,reproduction_energy_threshold
97,6,0.44840876,0.05459765,reproduction_energy_transfer_fraction
97,6,0.1533626,0.01515197,reproduction_cost_fraction
97,6,4.6185567,3.05767009,maturity_age
97,6,0.01345196,0.01762428,aging_cost
97,6,0.35140081,0.08137584,exploration_bias
97,6,0.35633396,0.09634093,learning_rate
97,6,7.22680412,1.73208149,memory_length
97,6,0.52148633,0.06403658,temperature_tolerance
97,6,0.85171485,0.03204482,sensor_precision
80,7,0.0628032,0.06617362,movement_cost
80,7,0.1042234,0.12412798,baseline_metabolic_cost
80,7,25.57666626,3.0926663,energy_capacity
80,7,13.53979176,4.46538543,reproduction_energy_threshold
80,7,0.4541376,0.04495849,reproduction_energy_transfer_fraction
80,7,0.15105424,0.02163589,reproduction_cost_fraction
80,7,3.75,2.23327114,maturity_age
80,7,0.00866604,0.01248924,aging_cost
80,7,0.35624079,0.08052105,exploration_bias
80,7,0.41787112,0.08419884,learning_rate
80,7,8.225,2.01230589,memory_length
80,7,0.51078826,0.08209357,temperature_tolerance
80,7,0.85393335,0.03745508,sensor_precision
90,8,0.05801348,0.06567075,movement_cost
90,8,0.06247696,0.06909166,baseline_metabolic_cost
90,8,26.44415202,3.07452614,energy_capacity
90,8,13.05145131,4.47397681,reproduction_energy_threshold
90,8,0.43303032,0.04771142,reproduction_energy_transfer_fraction
90,8,0.15528198,0.02600584,reproduction_cost_fraction
90,8,3.63333333,1.84059169,maturity_age
90,8,0.01242695,0.01741484,aging_cost
90,8,0.35611109,0.09349929,exploration_bias
90,8,0.43098426,0.07498944,learning_rate
90,8,9.05555556,1.6218036,memory_length
90,8,0.49458861,0.07990235,temperature_tolerance
90,8,0.85535207,0.0297276,sensor_precision
56,9,0.05832203,0.06068399,movement_cost
56,9,0.05466518,0.07084274,baseline_metabolic_cost
56,9,25.23542966,3.65232963,energy_capacity
56,9,12.74055415,5.14253203,reproduction_energy_threshold
56,9,0.42558467,0.04228742,reproduction_energy_transfer_fraction
56,9,0.13642464,0.0273272,reproduction_cost_fraction
56,9,4.17857143,2.29212271,maturity_age
56,9,0.01105497,0.01363281,aging_cost
56,9,0.40938133,0.13045492,exploration_bias
56,9,0.38956596,0.09839859,learning_rate
56,9,8.85714286,1.83642288,memory_length
56,9,0.57289796,0.12484485,temperature_tolerance
56,9,0.84887783,0.0419842,sensor_precision
46,10,0.0505074,0.06026811,movement_cost
46,10,0.08540319,0.09429352,baseline_metabolic_cost
46,10,27.43971256,3.03996072,energy_capacity
46,10,13.50236939,3.48924397,reproduction_energy_threshold
46,10,0.39618565,0.04956726,reproduction_energy_transfer_fraction
46,10,0.12186351,0.01897838,reproduction_cost_fraction
46,10,5.45652174,2.47339339,maturity_age
46,10,0.01264427,0.01661484,aging_cost
46,10,0.50196441,0.06138259,exploration_bias
46,10,0.35210659,0.09204067,learning_rate
46,10,8.95652174,1.84103612,memory_length
46,10,0.68143241,0.07553553,temperature_tolerance
46,10,0.87671623,0.03539949,sensor_precision
17,11,0.05660333,0.05601615,movement_cost
17,11,0.05216273,0.07286272,baseline_metabolic_cost
17,11,28.97062042,3.91578554,energy_capacity
17,11,9.35058997,4.14317318,reproduction_energy_threshold
17,11,0.40125077,0.03614023,reproduction_energy_transfer_fraction
17,11,0.11867614,0.01749906,reproduction_cost_fraction
17,11,6.05882353,2.36321287,maturity_age
17,11,0.00391122,0.00853021,aging_cost
17,11,0.50551556,0.08125308,exploration_bias
17,11,0.3532924,0.05447119,learning_rate
17,11,9.17647059,1.79001459,memory_length
17,11,0.75450709,0.0538437,temperature_tolerance
17,11,0.91602196,0.04293063,sensor_precision
2,12,0.04187838,0.03187838,movement_cost
2,12,0.02356603,0.01356603,baseline_metabolic_cost
2,12,24.27045575,0.1715566,energy_capacity
2,12,13.88249771,4.25444851,reproduction_energy_threshold
2,12,0.38477421,0.02927847,reproduction_energy_transfer_fraction
2,12,0.10836467,0.00267285,reproduction_cost_fraction
2,12,3.5,0.5,maturity_age
2,12,0.02755612,0.00100882,aging_cost
2,12,0.59351742,0.09215044,exploration_bias
2,12,0.3351545,0.0086883,learning_rate
2,12,7.0,3.0,memory_length
2,12,0.75466115,0.03469152,temperature_tolerance
2,12,0.9192349,0.00289224,sensor_precision
