count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
67,1,0.3075986,0.0876185,movement_cost
67,1,0.48102018,0.09959336,baseline_metabolic_cost
67,1,19.58185973,2.06863624,energy_capacity
67,1,16.24879829,1.80044361,reproduction_energy_threshold
67,1,0.44876832,0.03308754,reproduction_energy_transfer_fraction
67,1,0.15046831,0.01504363,reproduction_cost_fraction
67,1,4.79104478,1.62570135,maturity_age
67,1,0.02242684,0.02100588,aging_cost
67,1,0.3985203,0.05006975,exploration_bias
67,1,0.29551478,0.04781261,learning_rate
67,1,5.1641791,1.00144694,memory_length
67,1,0.50303748,0.05811418,temperature_tolerance
67,1,0.85401329,0.02379045,sensor_precision
167,2,0.32679883,0.1336785,movement_cost
167,2,0.4794101,0.13569047,baseline_metabolic_cost
167,2,20.29194431,3.46235698,energy_capacity
167,2,16.01408895,2.87926425,reproduction_energy_threshold
167,2,0.44911202,0.05032203,reproduction_energy_transfer_fraction
167,2,0.15440947,0.01972533,reproduction_cost_fraction
167,2,3.98203593,1.66137182,maturity_age
167,2,0.01768447,0.02173038,aging_cost
167,2,0.39524067,0.06389195,exploration_bias
167,2,0.3021267,0.06819261,learning_rate
167,2,5.04790419,1.25640102,memory_length
167,2,0.49651797,0.06565012,temperature_tolerance
167,2,0.84642738,0.03690068,sensor_precision
260,3,0.2483893,0.13906655,movement_cost
260,3,0.50066629,0.16365838,baseline_metabolic_cost
260,3,19.76647644,3.79929973,energy_capacity
260,3,15.23874385,3.64620248,reproduction_energy_threshold
260,3,0.44572645,0.04734515,reproduction_energy_transfer_fraction
260,3,0.15369341,0.02572163,reproduction_cost_fraction
260,3,3.79615385,1.88128041,maturity_age
260,3,0.01378678,0.01748307,aging_cost
260,3,0.38141488,0.08082017,exploration_bias
260,3,0.29776299,0.07612261,learning_rate
260,3,4.86923077,1.89488567,memory_length
260,3,0.51858439,0.08319531,temperature_tolerance
260,3,0.85118059,0.04330155,sensor_precision
232,4,0.19285146,0.15070029,movement_cost
232,4,0.47259552,0.18282662,baseline_metabolic_cost
232,4,19.30129886,3.63362671,energy_capacity
232,4,14.5728761,4.12706617,reproduction_energy_threshold
232,4,0.43499107,0.0544863,reproduction_energy_transfer_fraction
232,4,0.14680637,0.03648701,reproduction_cost_fraction
232,4,4.12931034,2.32130378,maturity_age
232,4,0.0134111,0.01901689,aging_cost
232,4,0.3673356,0.10081251,exploration_bias
232,4,0.31373814,0.08213491,learning_rate
232,4,4.59482759,2.3996352,memory_length
232,4,0.52252811,0.09872888,temperature_tolerance
232,4,0.85848327,0.04584629,sensor_precision
102,5,0.18725363,0.17453278,movement_cost
102,5,0.48552118,0.17472101,baseline_metabolic_cost
102,5,19.13507237,4.87909246,energy_capacity
102,5,11.44774206,5.29608505,reproduction_energy_threshold
102,5,0.44849117,0.04531775,reproduction_energy_transfer_fraction
102,5,0.15199197,0.03695619,reproduction_cost_fraction
102,5,4.43137255,2.88508607,maturity_age
102,5,0.01836227,0.02181239,aging_cost
102,5,0.3823988,0.11160331,exploration_bias
102,5,0.32695709,0.08431614,learning_rate
102,5,4.97058824,2.79865473,memory_length
102,5,0.52620189,0.09119723,temperature_tolerance
102,5,0.85408428,0.04965278,sensor_precision
22,6,0.22108483,0.21651563,movement_cost
22,6,0.45281878,0.20806956,baseline_metabolic_cost
22,6,19.49192089,5.44079879,energy_capacity
22,6,9.28160781,4.24265351,reproduction_energy_threshold
22,6,0.4699281,0.0475715,reproduction_energy_transfer_fraction
22,6,0.14443251,0.01989765,reproduction_cost_fraction
22,6,3.54545455,2.21004469,maturity_age
22,6,0.02911458,0.03045887,aging_cost
22,6,0.43004222,0.10670262,exploration_bias
22,6,0.29331608,0.08342591,learning_rate
22,6,4.90909091,1.75574617,memory_length
22,6,0.50517569,0.06749832,temperature_tolerance
22,6,0.83763334,0.04033299,sensor_precision
