count,generation,mean,std,trait
12,0,0.3,0.0,movement_cost
12,0,0.5,0.0,baseline_metabolic_cost
12,0,20.0,0.0,energy_capacity
12,0,17.0,0.0,reproduction_energy_threshold
12,0,0.45,0.0,reproduction_energy_transfer_fraction
12,0,0.15,0.0,reproduction_cost_fraction
12,0,5.0,0.0,maturity_age
12,0,0.02,0.0,aging_cost
12,0,0.4,0.0,exploration_bias
12,0,0.3,0.0,learning_rate
12,0,5.0,0.0,memory_length
12,0,0.5,0.0,temperature_tolerance
12,0,0.85,0.0,sensor_precision
2,1,0.24038487,0.13653273,movement_cost
2,1,0.54414806,0.07618091,baseline_metabolic_cost
2,1,17.4112034,1.30423496,energy_capacity
2,1,16.53514488,0.42817644,reproduction_energy_threshold
2,1,0.45790246,0.01706875,reproduction_energy_transfer_fraction
2,1,0.15153336,0.01091974,reproduction_cost_fraction
2,1,6.5,0.5,maturity_age
2,1,0.0,0.0,aging_cost
2,1,0.4265908,0.08177715,exploration_bias
2,1,0.26975841,0.01394067,learning_rate
2,1,5.5,1.5,memory_length
2,1,0.53141052,0.00345176,temperature_tolerance
2,1,0.83519625,0.01542007,sensor_precision
26,2,0.12912963,0.08960941,movement_cost
26,2,0.622639,0.09294713,baseline_metabolic_cost
26,2,18.74768172,2.4123908,energy_capacity
26,2,15.79842571,2.29801973,reproduction_energy_threshold
26,2,0.44519995,0.02780409,reproduction_energy_transfer_fraction
26,2,0.1421024,0.01353958,reproduction_cost_fraction
26,2,7.26923077,1.58254159,maturity_age
26,2,0.01486204,0.01787678,aging_cost
26,2,0.35245713,0.04929384,exploration_bias
26,2,0.26349884,0.04610068,learning_rate
26,2,6.69230769,1.20157687,memory_length
26,2,0.53070858,0.05221754,temperature_tolerance
26,2,0.8168819,0.02603928,sensor_precision
21,3,0.14269116,0.09300394,movement_cost
21,3,0.57617107,0.11916159,baseline_metabolic_cost
21,3,16.49879788,2.40899467,energy_capacity
21,3,14.17653141,1.88748625,reproduction_energy_threshold
21,3,0.46387494,0.03334226,reproduction_energy_transfer_fraction
21,3,0.13125561,0.02102386,reproduction_cost_fraction
21,3,5.52380952,1.65094627,maturity_age
21,3,0.00857827,0.0111099,aging_cost
21,3,0.33102175,0.02966844,exploration_bias
21,3,0.2537219,0.04982845,learning_rate
21,3,5.95238095,1.09004982,memory_length
21,3,0.5436421,0.05300333,temperature_tolerance
21,3,0.84215533,0.03224781,sensor_precision
17,4,0.11544503,0.0782296,movement_cost
17,4,0.5695338,0.06619347,baseline_metabolic_cost
17,4,17.76388155,3.55413417,energy_capacity
17,4,15.14063372,2.97990671,reproduction_energy_threshold
17,4,0.48026603,0.06452137,reproduction_energy_transfer_fraction
17,4,0.12681766,0.01377406,reproduction_cost_fraction
17,4,6.82352941,1.61737966,maturity_age
17,4,0.00953494,0.01471501,aging_cost
17,4,0.32948242,0.042971,exploration_bias
17,4,0.20804111,0.0781688,learning_rate
17,4,5.94117647,1.16167163,memory_length
17,4,0.59552654,0.07073366,temperature_tolerance
17,4,0.86757963,0.05916958,sensor_precision
1,5,0.01,0.0,movement_cost
1,5,0.64868905,0.0,baseline_metabolic_cost
1,5,19.42762798,0.0,energy_capacity
1,5,19.42762798,0.0,reproduction_energy_threshold
1,5,0.45056599,0.0,reproduction_energy_transfer_fraction
1,5,0.13125903,0.0,reproduction_cost_fraction
1,5,8.0,0.0,maturity_age
1,5,0.00742789,0.0,aging_cost
1,5,0.27430158,0.0,exploration_bias
1,5,0.17829161,0.0,learning_rate
1,5,7.0,0.0,memory_length
1,5,0.54422448,0.0,temperature_tolerance
1,5,0.89021116,0.0,sensor_precision
